Authors,Author(s) ID,Year,Source title,Link,EID
"Langstraat K., Knijnenberg A., Edelman G., Van De Merwe L., Van Loon A., Dik J., Van Asten A.","57196455590;15044809900;26435111000;57194049575;56343395700;12794982000;56099430100;",2017,"Scientific Reports","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033385813&doi=10.1038%2fs41598-017-15468-5&partnerID=40&md5=255f4473f441268397bfa4c2cd30f1f3",2-s2.0-85033385813
"Mejia R.","10042914600;",2005,"New Scientist","https://www.scopus.com/inward/record.uri?eid=2-s2.0-29144501462&partnerID=40&md5=9ecbe287df908990b4eeaae89d1b0e38",2-s2.0-29144501462
"Randerson J.","7005110573;",2004,"New Scientist","https://www.scopus.com/inward/record.uri?eid=2-s2.0-7544221348&partnerID=40&md5=973e7381419959a3d654611e98b4e763",2-s2.0-7544221348
