Authors,Author(s) ID,Year,Source title,Link,EID
"Kuula J., Pölönen I., Puupponen H.-H., Selander T., Reinikainen T., Kalenius T., Saari H.","24363668200;55257235200;36158672800;57189086576;7004756057;55504955400;7003922988;",2012,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870195850&doi=10.1117%2f12.918555&partnerID=40&md5=6f3c7934a514605b71da0a6516d9f70a",2-s2.0-84870195850
"Schumacher R., Barth M., Neimke D., Niewöhner L.","14630960900;57189351968;14631074000;20135268700;",2010,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954526420&doi=10.1117%2f12.853852&partnerID=40&md5=6b44d1d669363e886e1558b0cc8ee5d0",2-s2.0-77954526420
"Hondrogiannis E., Andersen D., Miziolek A.W.","55342863000;37100917000;7003962186;",2013,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881148483&doi=10.1117%2f12.2017900&partnerID=40&md5=69acbccbc96df591a4d9b295865c3f38",2-s2.0-84881148483
"Burnett B.R.","35564659500;",2014,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922983230&doi=10.1117%2f12.2065553&partnerID=40&md5=f0014b023ebac5face68139d11f4d771",2-s2.0-84922983230
"Kotrlý M., Turková I.","56319424700;35086846200;",2011,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960419864&doi=10.1117%2f12.887850&partnerID=40&md5=a3777354822dab6f731d3fa682f1ec84",2-s2.0-79960419864
"Cervelli F., Carrato S., Mattei A., Jerian M., Benevoli L., Mancini L., Zanini F., Vaccari L., Perucchi A., Aquilanti G.","23134567700;7004596594;9132584400;9132584000;36909359600;7103376845;57204189019;6602731172;6603071452;55913711400;",2011,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952648611&doi=10.1117%2f12.876118&partnerID=40&md5=cf7265fc8fa49c639c393a9cefa3ee4a",2-s2.0-79952648611
"Biedermann A., Vuille J.","7004542967;35763022000;",2016,"Digital Investigation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962382649&doi=10.1016%2fj.diin.2016.01.011&partnerID=40&md5=4fa530f21add4688ca422ea9b70ae921",2-s2.0-84962382649
"Knijnenberg A., Stamouli A., Janssen M.","15044809900;6602670587;56519154200;",2014,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923066193&doi=10.1117%2f12.2066992&partnerID=40&md5=a56b8586b248492b1878fea1ee78eb31",2-s2.0-84923066193
"Ricci C., Kazarian S.G.","57191581925;7005510823;",2006,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846974743&doi=10.1117%2f12.689429&partnerID=40&md5=cf8bf7592f3a9215cbab4270a1245dd5",2-s2.0-33846974743
"Janssen M., Stamouli A., Knijnenberg A.","56519154200;6602670587;15044809900;",2015,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962651920&doi=10.1117%2f12.2197028&partnerID=40&md5=966aa31e02181aa557006ea23e592d80",2-s2.0-84962651920
