Authors,Author(s) ID,Year,Source title,Link,EID
"Sen P., Mehta G.K.","7402920496;57196059648;",1983,"IEEE Transactions on Nuclear Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020115426&doi=10.1109%2fTNS.1983.4332515&partnerID=40&md5=23adb5e52af23ae90fa6531999c32a3e",2-s2.0-0020115426
"Bhadkambekar C.A., Swain K.K., Kayasth S.R., Mukherjee T.","8729235000;6603716524;6602734963;7102607573;",2005,"Journal of Radioanalytical and Nuclear Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-24644500714&doi=10.1007%2fs10967-005-0878-3&partnerID=40&md5=bfe6d62a4821e085adef2a649ef18c86",2-s2.0-24644500714
"Moauro A., Carconi P.L., Casadio S.","6603142024;6602401476;56233821400;",1997,"Journal of Radioanalytical and Nuclear Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030941851&doi=10.1007%2fBF02033774&partnerID=40&md5=d2ba0ae3c8cbb6a08a0fb1960fa5b3f5",2-s2.0-0030941851
