Authors,Author(s) ID,Year,Source title,Link,EID
"Pyl C.V., Ovide O., Ho M., Yuksel B., Trejos T.","57205271399;57205272604;57205271889;35744398700;6507011064;",2019,"Spectrochimica Acta - Part B Atomic Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059342135&doi=10.1016%2fj.sab.2018.12.010&partnerID=40&md5=12e72179035becdc8a65d5e49313fc61",2-s2.0-85059342135
"Landes F.C., Paltseva A., Sobolewski J.M., Cheng Z., Ellis T.K., Mailloux B.J., Van Geen A.","56077847500;56996123400;57209541402;57203637194;57188559129;6603163699;7003938156;",2019,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068064062&doi=10.1021%2facs.analchem.9b00681&partnerID=40&md5=dce9f5ad64a66739011cfaafd83906c7",2-s2.0-85068064062
"Boracchi M., Andreola S., Collini F., Gentile G., Lucchini G., Maciocco F., Sacchi G.A., Zoja R.","57132991800;57198259689;56373263900;23466974600;7005358330;57194274087;36747984300;6506348083;",2018,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053832329&doi=10.1016%2fj.forsciint.2018.08.041&partnerID=40&md5=638d4a87ad119f07d3a617c3c54c32bf",2-s2.0-85053832329
"Boracchi M., Andreola S., Collini F., Gentile G., Maciocco F., Maghin F., Zoja R.","57132991800;57198259689;56373263900;23466974600;57194274087;57133146500;6506348083;",2017,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019611910&doi=10.1016%2fj.forsciint.2017.05.004&partnerID=40&md5=54a1796cb39bad5258e74960e928c215",2-s2.0-85019611910
"Migliorini A.S., Andreola S., Battistini A., Gentile G., Muccino E., Vancheri G., Zoja R.","56809002000;57198259689;15130649400;23466974600;55796382900;57202567180;6506348083;",2015,"Journal of Forensic and Legal Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940378541&doi=10.1016%2fj.jflm.2015.08.004&partnerID=40&md5=350e5339ce46b15f435ee23890f42462",2-s2.0-84940378541
"Vanini G., Destefani C.A., Merlo B.B., Carneiro M.T.W.D., Filgueiras P.R., Poppi R.J., Romão W.","55806202000;56086468100;56085928600;35785829700;36052984700;7004573622;57198083811;",2015,"Microchemical Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905841663&doi=10.1016%2fj.microc.2014.07.016&partnerID=40&md5=78e3a7f8e005ae65c5badd7d21ae7dcf",2-s2.0-84905841663
"López-López M., García-Ruiz C.","36614422500;35271820400;",2014,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898684271&doi=10.1016%2fj.forsciint.2014.03.023&partnerID=40&md5=d91db477c383044b5af8b1b664ad4703",2-s2.0-84898684271
"Turillazzi E., Di Peri G.P., Nieddu A., Bello S., Monaci F., Neri M., Pomara C., Rabozzi R., Riezzo I., Fineschi V.","54937623900;55760202700;6602737596;35783887600;6601929852;8314105000;8339471800;56346695000;6507688636;7003380926;",2013,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878785679&doi=10.1016%2fj.forsciint.2013.04.006&partnerID=40&md5=badabc4eeda5aba0c633d36c7a6740fd",2-s2.0-84878785679
"Chang K.H., Jayaprakash P.T., Yew C.H., Abdullah A.F.L.","55645695400;7004736167;55644072200;55621468900;",2013,"Australian Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875926381&doi=10.1080%2f00450618.2012.691546&partnerID=40&md5=29fd2f61a8e69b91779c69d0ebf86c3e",2-s2.0-84875926381
