Authors,Author(s) ID,Year,Source title,Link,EID
"Mishra V., Koni S., Ahuja P., Dahiya M.S.","57202007603;57202010408;57192063262;56678458600;",2018,"Indian Journal of Forensic Medicine and Toxicology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046721383&doi=10.5958%2f0973-9130.2018.00080.4&partnerID=40&md5=77653718a4aab7a0f86f7b1440392161",2-s2.0-85046721383
"Preoteasa E.A., Preoteasa E.S., Suciu I., Bartok R.N.","35357482200;6602323806;57163124600;57207305047;",2018,"AIMS Materials Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060874058&doi=10.3934%2fMATERSCI.2018.4.781&partnerID=40&md5=08da7ebbe9f7c7eb58bfc2d87d716245",2-s2.0-85060874058
"Hird H.J., Brown M.K.","56613959200;55369686100;",2017,"Science and Justice","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030157905&doi=10.1016%2fj.scijus.2017.08.001&partnerID=40&md5=5019eee66b83d2c0ab3eb4ec3c52de20",2-s2.0-85030157905
"Muro C.K., Doty K.C., de Souza Fernandes L., Lednev I.K.","56469498800;56086169000;57192409746;7004549899;",2016,"Forensic Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006277030&doi=10.1016%2fj.forc.2016.06.003&partnerID=40&md5=3f82acb2698e147aa67012306f2f8497",2-s2.0-85006277030
"Cadd S., Li B., Beveridge P., O'Hare W.T., Campbell A., Islam M.","55536545800;55698619900;6602287278;6701736756;56367199900;7403693315;",2016,"Science and Justice","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956481166&doi=10.1016%2fj.scijus.2015.12.007&partnerID=40&md5=ba379a378d86ac40a706efd9ceb714ee",2-s2.0-84956481166
"Byrnes J.F., Bush P.J.","57188862161;7103212198;",2016,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028260386&doi=10.1111%2f1556-4029.13103&partnerID=40&md5=0d2562bcff8d6dd1ad5bb0f27c47df9f",2-s2.0-85028260386
"Cadd S., Li B., Beveridge P., O'Hare W.T., Campbell A., Islam M.","55536545800;55698619900;6602287278;6701736756;56367199900;7403693315;",2016,"Science and Justice","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964711812&doi=10.1016%2fj.scijus.2016.01.004&partnerID=40&md5=14bd001f633728ea4859ac8346b57bf6",2-s2.0-84964711812
"Bourke A., Ross P.-S.","56343266100;8746810000;",2016,"Geochemistry: Exploration, Environment, Analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970939949&doi=10.1144%2fgeochem2014-326&partnerID=40&md5=9ebcffba2996cc796a5b2913344aa3d2",2-s2.0-84970939949
"Muro C.K., De Souza Fernandes L., Lednev I.K.","56469498800;57192409746;7004549899;",2016,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020001635&doi=10.1021%2facs.analchem.6b03988&partnerID=40&md5=b0e78373be2da16d3bb1c23d3fdac25e",2-s2.0-85020001635
"Soleimani M., Siahpoosh Z.H.","16022692400;55250026000;",2015,"Chinese Journal of Chemical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955695470&doi=10.1016%2fj.cjche.2015.08.024&partnerID=40&md5=a619cc7730cb9e3750f6ebc2a5779976",2-s2.0-84955695470
