Authors,Author(s) ID,Year,Source title,Link,EID
"Merli D., Brandone A., Amadasi A., Cattaneo C., Profumo A.","8368483400;6508288785;53876776000;55157912300;7003364620;",2016,"International Journal of Legal Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968586458&doi=10.1007%2fs00414-016-1375-7&partnerID=40&md5=8b6aad827fa386eb6a9cf5d01d52ff14",2-s2.0-84968586458
"Dalby O., Butler D., Birkett J.W.","36160383000;57198299952;7004014784;",2010,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954320178&doi=10.1111%2fj.1556-4029.2010.01370.x&partnerID=40&md5=8ed7f76d57e3a1216c821751a8972c1b",2-s2.0-77954320178
"Van Den Broeck W., De Pauw B.","7004519198;7006629858;",2001,"Vlaams Diergeneeskundig Tijdschrift","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035622940&partnerID=40&md5=37a5feec61338608ecac32410ead3240",2-s2.0-0035622940
"Saverio Romolo F., Margot P.","6508292376;7004580112;",2001,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035876938&doi=10.1016%2fS0379-0738%2800%2900428-X&partnerID=40&md5=e2f36a3e097a0be7c0c29e4addbcf379",2-s2.0-0035876938
"Lebiedzik J., Johnson D.L.","6603130185;57197154064;",2000,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033986408&partnerID=40&md5=cc291ed01341a3d22b87f29cc0907ba7",2-s2.0-0033986408
"Wrobel H.A., Millar J.J., Kijek M.","6602557812;7203077076;6506584328;",1998,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031906470&partnerID=40&md5=660563b516490bdc9ecc62ab5f943c12",2-s2.0-0031906470
"Basu S., Boone Jr. C.E., Denio Jr. D.J., Miazga R.A.","7403656094;36797360700;7801377796;6505569890;",1997,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030742763&partnerID=40&md5=817da3eb2c9b9a21dc20bdf0aed0d50c",2-s2.0-0030742763
"Singer R.L., Davis D., Houck M.M.","57197303032;55463208400;7006244647;",1996,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029931924&partnerID=40&md5=54b6583ec2df8db371fb10ecd30f8fb4",2-s2.0-0029931924
"Arora B.B.","7102781571;",1986,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023013685&doi=10.1016%2f0379-0738%2886%2990081-2&partnerID=40&md5=caad6863e20694bb8c145902e9933bfa",2-s2.0-0023013685
