Authors,Author(s) ID,Year,Source title,Link,EID
"Acharya R., Pujari P.K.","7102984182;6603910140;",2019,"Forensic Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040555427&doi=10.1016%2fj.forc.2018.01.002&partnerID=40&md5=fddd8b9dc19a83d9a8656772cbce4e83",2-s2.0-85040555427
"Duarte A., Silva L.M., de Souza C.T., Stori E.M., Niekraszewicz L.A.B., Amaral L., Dias J.F.","57190884864;16302305400;53877000700;55515128100;56520183400;55952762600;7201934485;",2018,"Forensic Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029536171&doi=10.1016%2fj.forc.2017.09.001&partnerID=40&md5=4997730510f7ce8d24202cae3970d869",2-s2.0-85029536171
"Duarte A., Silva L.M., De Souza C.T., Stori E.M., Boufleur L.A., Amaral L., Dias J.F.","57190884864;16302305400;53877000700;55515128100;26538663000;55952762600;7201934485;",2015,"Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027923464&doi=10.1016%2fj.nimb.2014.11.116&partnerID=40&md5=72de12208afcd4d317f6470ea5fc80f0",2-s2.0-85027923464
"Romolo F.S., Christopher M.E., Donghi M., Ripani L., Jeynes C., Webb R.P., Ward N.I., Kirkby K.J., Bailey M.J.","6508292376;54782309500;55776762800;6603303870;7005965730;7403006881;16192268900;8683196800;26640197300;",2013,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879488230&doi=10.1016%2fj.forsciint.2013.05.006&partnerID=40&md5=e07b51cd6937c097051befa58c24150f",2-s2.0-84879488230
"Christopher M.E., Warmenhoeven J.-W., Romolo F.S., Donghi M., Webb R.P., Jeynes C., Ward N.I., Kirkby K.J., Bailey M.J.","54782309500;56123957600;6508292376;55776762800;7403006881;7005965730;16192268900;8683196800;26640197300;",2013,"Analyst","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880445433&doi=10.1039%2fc3an00597f&partnerID=40&md5=7abbbcfdfa07798066e1d73d7b081112",2-s2.0-84880445433
"Jeynes C., Bailey M.J., Bright N.J., Christopher M.E., Grime G.W., Jones B.N., Palitsin V.V., Webb R.P.","7005965730;26640197300;54782201100;54782309500;55405672800;16241614200;6507048165;7403006881;",2012,"Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82455175419&doi=10.1016%2fj.nimb.2011.09.020&partnerID=40&md5=5084c1a394120395f862fd8ba5b636af",2-s2.0-82455175419
"Jeynes C., Webb R.P., Lohstroh A.","7005965730;7403006881;8513461900;",2012,"Reviews of Accelerator Science and Technology: Accelerator Applications in Industry and the Environment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863941723&doi=10.1142%2fS1793626811000483&partnerID=40&md5=28c5139e14568d9e7188be7a1749b093",2-s2.0-84863941723
"Brettell T.A., Butler J.M., Almirall J.R.","6604035747;7403925483;7004960911;",2011,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959207473&doi=10.1021%2fac201075e&partnerID=40&md5=b8055cc1da139c8bb6960eea5eba1db0",2-s2.0-79959207473
"Jezeršek D., Jakominb S., Šmit Ž.","13907016200;36081635700;7003480375;",2010,"Surface and Interface Analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951973163&doi=10.1002%2fsia.3155&partnerID=40&md5=7e0e1169afd200516ca96dbdb8151aa3",2-s2.0-77951973163
