Authors,Author(s) ID,Year,Source title,Link,EID
"González-Méndez R., Mayhew C.A.","55939326500;7006256710;",2019,"Journal of the American Society for Mass Spectrometry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064190535&doi=10.1007%2fs13361-018-02130-1&partnerID=40&md5=041a46c890850d7bbf958f0c6b2265ba",2-s2.0-85064190535
"Perez J.J., Watson D.A., Levis R.J.","55503945500;57201673267;57206151671;",2016,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028696591&doi=10.1021%2facs.analchem.6b01438&partnerID=40&md5=20843eff05d6802da7a91010dfd556eb",2-s2.0-85028696591
"Benito S., Abrego Z., Sánchez A., Unceta N., Goicolea M.A., Barrio R.J.","56452691700;55062298400;14322502100;6507899948;6602249008;7006546783;",2015,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919338496&doi=10.1016%2fj.forsciint.2014.11.002&partnerID=40&md5=3130e608902d127ca797a8cd800f8d30",2-s2.0-84919338496
"Taudte R.V., Roux C., Bishop D., Blanes L., Doble P., Beavis A.","55907909000;7202017940;7401913655;8606130700;6603627895;7007045269;",2015,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940971109&doi=10.1039%2fc5ay00306g&partnerID=40&md5=82cb0894147e5a0abacce520bcb029f3",2-s2.0-84940971109
"Abrego Z., Grijalba N., Unceta N., Maguregui M., Sanchez A., Fernández-Isla A., Goicolea M.A., Barrió R.J.","55062298400;56401022300;6507899948;24537370900;14322502100;55062298500;6602249008;7006546783;",2014,"Analyst","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908462472&doi=10.1039%2fc4an01051e&partnerID=40&md5=54d740959cf7138f7bbe19269b4ae30c",2-s2.0-84908462472
"Taudte R.V., Beavis A., Blanes L., Cole N., Doble P., Roux C.","55907909000;7007045269;8606130700;25123483300;6603627895;7202017940;",2014,"BioMed Research International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902132405&doi=10.1155%2f2014%2f965403&partnerID=40&md5=9785e912a2019e957ae5f3e5834a278c",2-s2.0-84902132405
"Perez J.J., Flanigan P.M., Brady J.J., Levis R.J.","55503945500;36618709700;24471120800;7005215034;",2013,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871782881&doi=10.1021%2fac302661k&partnerID=40&md5=4c4297697f4d3dfe60f6ba3f2a8e9c9d",2-s2.0-84871782881
"Morelato M., Beavis A., Ogle A., Doble P., Kirkbride P., Roux C.","36144095700;7007045269;53880332600;6603627895;56337473100;7202017940;",2012,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858794840&doi=10.1016%2fj.forsciint.2011.10.030&partnerID=40&md5=df871652eeab8487e359a673d483b4f3",2-s2.0-84858794840
"Godejohann M., Heintz L., Daolio C., Berset J.-D., Muff D.","6602719762;35181313300;8932617100;7004081694;35181702500;",2009,"Environmental Science and Technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349098706&doi=10.1021%2fes901068d&partnerID=40&md5=7a0f9820d8e4b15664b3dd916860b41b",2-s2.0-70349098706
"Scherperel G., Reid G.E., Waddell Smith R.","12799129400;7402424649;7006383201;",2009,"Analytical and Bioanalytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68549125421&doi=10.1007%2fs00216-009-2689-9&partnerID=40&md5=0e82c95ebb41b3a7bfd83d6970315b47",2-s2.0-68549125421
"Zhao M., Zhang S., Yang C., Xu Y., Wen Y., Sun L., Zhang X.","15049961800;35232020500;7407744086;57198774518;55239417300;55493067000;35108563900;",2008,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-47349115167&doi=10.1111%2fj.1556-4029.2008.00752.x&partnerID=40&md5=e24b612df0139300febe26f1923e18ca",2-s2.0-47349115167
"West C., Baron G., Minet J.-J.","8676198500;35073398200;36927723100;",2007,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847022976&doi=10.1016%2fj.forsciint.2006.04.004&partnerID=40&md5=ec8e37ac835897629a4f3f7daf991a81",2-s2.0-33847022976
"Mathis J.A., McCord B.R.","7101941277;7004001442;",2005,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-25144496188&doi=10.1016%2fj.forsciint.2004.10.008&partnerID=40&md5=5fc7c521f1ad6683b8f1023850a2ef9f",2-s2.0-25144496188
"Mathis J.A., McCord B.R.","7101941277;7004001442;",2003,"Journal of Chromatography A","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037458467&doi=10.1016%2fS0021-9673%2802%2902055-1&partnerID=40&md5=9223a6bbb1994f067f4afd130613eaeb",2-s2.0-0037458467
"Wu Z., Tong Y., Yu J., Zhang X., Yang Y., Pan C., Deng X., Wen Y., Xu Y.","7501412325;55225471800;7405530456;35108563900;7409382210;7403223312;7401767065;55239417300;57198775466;",2001,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034989911&partnerID=40&md5=dd910afea64312294a233519d0abd244",2-s2.0-0034989911
"Tong Y., Wu Z., Yang C., Yu J., Zhang X., Yang S., Deng X., Xu Y., Wen Y.","55225471800;7501412325;7407744086;7405530456;35108563900;57199268729;16425410100;7406452111;55239417300;",2001,"Analyst","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035054972&doi=10.1039%2fb010183o&partnerID=40&md5=376067339b6eb872f5faedc5f7226b53",2-s2.0-0035054972
"Wang Q., Wu Z., Wang Y., Luo G., Wu E., Gao X., Li G.","7406915351;7501412325;57201318138;7401536462;7202127971;7403872814;55714149700;",2001,"Analytical Letters","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035092280&doi=10.1081%2fAL-100002708&partnerID=40&md5=a5db6042af4ea14d1c89dbc0a26918c7",2-s2.0-0035092280
"Wang Q., Wu Z., Wang Y., Luo G., Wu E., Gao X.","7406915351;7501412325;13310049900;7401536462;7202127971;7403872814;",2000,"Journal of Chromatography B: Biomedical Sciences and Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034666492&doi=10.1016%2fS0378-4347%2800%2900302-9&partnerID=40&md5=18c75b8573ae15ef2d6e3454fc0179cc",2-s2.0-0034666492
