Authors,Author(s) ID,Year,Source title,Link,EID
"Chávez Reyes L., Elgueta López C., Briceño Barrios A., Garrido Soto C., Ibáñez C., Jamett Díaz F.","57202831044;57202833297;57202835781;57202835472;12041149600;57202838006;",2018,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049502507&doi=10.1016%2fj.forsciint.2018.06.029&partnerID=40&md5=ca06b3dcdb19b3b4c2e1a2d344ba548e",2-s2.0-85049502507
"Buking S., Saetear P., Tiyapongpattana W., Uraisin K., Wilairat P., Nacapricha D., Ratanawimarnwong N.","57200607751;34968577600;24179263500;10938793800;55399307100;6603360481;7801572946;",2018,"Analytical Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041840212&doi=10.2116%2fanalsci.34.83&partnerID=40&md5=1b3b3795c4113c0da9065719e18ce85a",2-s2.0-85041840212
"Hinrichs R., Frank P.R.O., Vasconcellos M.A.Z.","56268429300;57192913063;7005665801;",2017,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009143750&doi=10.1016%2fj.forsciint.2016.12.033&partnerID=40&md5=9dbb64d9643b55dab1d8d0f18bacff69",2-s2.0-85009143750
"Smijs T., Galli F., van Asten A.","6603214429;57191898227;56099430100;",2016,"Forensic Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006378380&doi=10.1016%2fj.forc.2016.10.005&partnerID=40&md5=c961a79733106eafa4fe64c35e7ccc08",2-s2.0-85006378380
"Aliste M., Chávez L.G.","56104447400;57102993900;",2016,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957573824&doi=10.1016%2fj.forsciint.2016.01.034&partnerID=40&md5=006060229b4eabbf430d858208313732",2-s2.0-84957573824
