Authors,Author(s) ID,Year,Source title,Link,EID
"Pyl C.V., Ovide O., Ho M., Yuksel B., Trejos T.","57205271399;57205272604;57205271889;35744398700;6507011064;",2019,"Spectrochimica Acta - Part B Atomic Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059342135&doi=10.1016%2fj.sab.2018.12.010&partnerID=40&md5=12e72179035becdc8a65d5e49313fc61",2-s2.0-85059342135
"Doña-Fernández A., de Andres-Gimeno I., Santiago-Toribio P., Valtuille-Fernández E., Aller-Sanchez F., Heras-González A.","57204124213;57204128178;57204126547;57204120517;57204121312;57204122434;",2018,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054593662&doi=10.1016%2fj.forsciint.2018.09.021&partnerID=40&md5=fcb01b017e64882e18c16e8722b12305",2-s2.0-85054593662
"Trejos T., Vander Pyl C., Menking-Hoggatt K., Alvarado A.L., Arroyo L.E.","6507011064;57191504919;57204574105;57204572101;36130950800;",2018,"Forensic Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056230210&doi=10.1016%2fj.forc.2018.02.006&partnerID=40&md5=8215efe6afaaeea892a0cb29f9f259fa",2-s2.0-85056230210
"Bhatt C.R., Ghany C.T., Yueh F.Y., Singh J.P., McIntyre D.L.","57193575215;57190597824;6603774847;57206961406;7102664156;",2017,"Molecular and Laser Spectroscopy: Advances and Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050043836&doi=10.1016%2fB978-0-12-849883-5.00012-7&partnerID=40&md5=4fc7cd60975075679b0f8b8b35bc3362",2-s2.0-85050043836
"López-López M., Alvarez-Llamas C., Pisonero J., García-Ruiz C., Bordel N.","36614422500;56605031200;6506992041;35271820400;6603746668;",2017,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014367370&doi=10.1016%2fj.forsciint.2017.02.012&partnerID=40&md5=595fa811beaaac6ab1f2d5344ec5c534",2-s2.0-85014367370
"Fambro L.A., Vandenbos D.D., Rosenberg M.B., Dockery C.R.","57189263514;57189261324;8236814200;6602477687;",2017,"Applied Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018946966&doi=10.1177%2f0003702816689099&partnerID=40&md5=b9762a877cf1d05215a1bcb1e5ba42c7",2-s2.0-85018946966
"Fambro L.A., Miller E.T., Vandenbos D.D., Dockery C.R.","57189263514;57189268527;57189261324;6602477687;",2016,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967327853&doi=10.1039%2fc6ay00725b&partnerID=40&md5=ee8976c9897f3a6238f866f646231348",2-s2.0-84967327853
"Becker J.R., Skrodzki P.J., Diwakar P.K., Hassanein A.","57169357100;57170735700;8704712000;7102373231;",2016,"Spectroscopy Letters","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962296071&doi=10.1080%2f00387010.2016.1144073&partnerID=40&md5=51f9d7a3e919abf1f3de053025fc82d3",2-s2.0-84962296071
"Prochazka D., Bilík M., Prochazková P., Brada M., Klus J., Pořízka P., Novotný J., Novotný K., Ticová B., Bradáč A., Semela M., Kaiser J.","37081708000;56578277800;56578315700;56367748900;56578439900;55312098800;57206170493;56373595900;56578824100;56578540400;56578709000;7402184758;",2016,"Spectrochimica Acta - Part B Atomic Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959474677&doi=10.1016%2fj.sab.2016.02.013&partnerID=40&md5=307f97985cd88808c42f4cc91c5d32ac",2-s2.0-84959474677
"Camacho J.J., Diaz L., Martinez-Ramirez S., Caceres J.O.","7102361901;7202387378;6701601177;7006571368;",2015,"Spectrochimica Acta - Part B Atomic Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938324962&doi=10.1016%2fj.sab.2015.07.008&partnerID=40&md5=d6250e3172bbeaf9f1359223e3f0edd6",2-s2.0-84938324962
