Authors,Author(s) ID,Year,Source title,Link,EID
"Moini M.","7004272095;",2018,"Electrophoresis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045405321&doi=10.1002%2felps.201700501&partnerID=40&md5=b49d1192a6a62f516d8e0606219b7f4c",2-s2.0-85045405321
"Shewale J.G., Qi L., Calandro L.M.","7004551202;56009772800;12779568000;",2013,"Forensic DNA Analysis: Current Practices and Emerging Technologies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060089040&doi=10.1201%2fb15361&partnerID=40&md5=36059be71f31f6ae725337536bce78a9",2-s2.0-85060089040
"Shewale J.G., Qi L., Calandro L.M.","7004551202;57206910456;12779568000;",2012,"Forensic Science Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892685047&partnerID=40&md5=d5c26d7afced9792245092b927a6740a",2-s2.0-84892685047
"Tagliaro F., Pascali J., Fanigliulo A., Bortolotti F.","7006052078;9433532000;36473052900;7005050288;",2010,"Electrophoresis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73449122256&doi=10.1002%2felps.200900482&partnerID=40&md5=ebfa3cea25accef0b0324689f4a220b4",2-s2.0-73449122256
"Fanigliulo A., Bortolotti F., Pascali J., Tagliaro F.","36473052900;7005050288;9433532000;7006052078;",2008,"Handbook of Analytical Separations","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649360071&doi=10.1016%2fS1567-7192%2806%2906015-3&partnerID=40&md5=b3ef1e714a4854bfbca59f6be19ea633",2-s2.0-67649360071
"Tagliaro F., Bortolotti F.","7006052078;7005050288;",2006,"Electrophoresis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-31844436011&doi=10.1002%2felps.200500697&partnerID=40&md5=1348c2f421b1bb6497762522010f574a",2-s2.0-31844436011
"Butler J.M., Buel E., Crivellente F., McCord B.R.","7403925483;6701802430;6603443425;7004001442;",2004,"Electrophoresis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3042775276&partnerID=40&md5=2cea70cf652cc7325b32e82f8c242acd",2-s2.0-3042775276
"Marchi E.","7006231781;",2004,"American Laboratory","https://www.scopus.com/inward/record.uri?eid=2-s2.0-5044221485&partnerID=40&md5=7ee7f02d703155bc848d25fc5dba94a9",2-s2.0-5044221485
"Marchi E., Chastain T.Z.","7006231781;57128245900;",2002,"American Laboratory","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10444250374&partnerID=40&md5=b1a4532fe55e3a2e78340057cca092da",2-s2.0-10444250374
"Marchi E.","7006231781;",2001,"American Laboratory","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035758254&partnerID=40&md5=57b8c9d3594534f023ec60175d9a5093",2-s2.0-0035758254
"Righetti P.G., Gelfi C.","36039576300;7005211977;",1999,"Journal of Biochemical and Biophysical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032759395&doi=10.1016%2fS0165-022X%2899%2900039-1&partnerID=40&md5=9353df67db279d7796839fc2c6758d2b",2-s2.0-0032759395
"Barnes R.M.","55314697900;",1998,"Fresenius' Journal of Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-25944451413&doi=10.1007%2fs002160050873&partnerID=40&md5=8085d79f7642fd8024d6a1a84808a0de",2-s2.0-25944451413
"Tagliaro F., Smith F.P., Tedeschi L., Castagna F., Dobosz M., Boschi I., Pascali V.","7006052078;55465772000;7005093071;6603578024;7005356475;7801456581;35548225900;",1998,"Journal of Chromatography Library","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956673252&doi=10.1016%2fS0301-4770%2808%2960319-X&partnerID=40&md5=3ef79af2b94a6c08a57a2c44c3c72d4e",2-s2.0-77956673252
"Rohde E., McManus A.C., Vogt C., Heineman W.R.","57196596615;7004635910;7102423322;7006568126;",1997,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030661654&partnerID=40&md5=106067d69b8eac747bcb9dbd60395e69",2-s2.0-0030661654
"Von Heeren F., Thormann W.","6507082201;7005530699;",1997,"Electrophoresis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031450025&doi=10.1002%2felps.1150181232&partnerID=40&md5=79266f400702f0750e6e6fb9553c4c47",2-s2.0-0031450025
"Mansfield E.S., Vainer M., Enad S., Barker D.L., Harris D., Rappaport E., Fortina P.","7006199551;6603103492;6506601137;35730090700;7403921047;7006303154;7004663384;",1996,"Genome Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029845635&partnerID=40&md5=f6f0c1826f394d3319e2a5d390874d68",2-s2.0-0029845635
"Tagliaro F., Smith F.P.","7006052078;55465772000;",1996,"TrAC - Trends in Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030297948&doi=10.1016%2fS0165-9936%2896%2900055-6&partnerID=40&md5=88c9ee4f6314be1aa7662722d07a5c51",2-s2.0-0030297948
