Authors,Author(s) ID,Year,Source title,Link,EID
"Kagaya S.","56247570500;",2016,"Bunseki Kagaku","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957550546&doi=10.2116%2fbunsekikagaku.65.13&partnerID=40&md5=a400b57ac55379b700f1e132052ce7f0",2-s2.0-84957550546
"Chang K.H., Jayaprakash P.T., Yew C.H., Abdullah A.F.L.","55645695400;7004736167;55644072200;55621468900;",2013,"Australian Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875926381&doi=10.1080%2f00450618.2012.691546&partnerID=40&md5=29fd2f61a8e69b91779c69d0ebf86c3e",2-s2.0-84875926381
"Gibelli D., Brandone A., Andreola S., Porta D., Giudici E., Grandi M.A., Cattaneo C.","26532520200;6508288785;57198259689;23051551700;57207635027;7005139787;55157912300;",2010,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954317785&doi=10.1111%2fj.1556-4029.2010.01378.x&partnerID=40&md5=00e896d5468cb6a6a01d8ac31307c71f",2-s2.0-77954317785
"Dalby O., Butler D., Birkett J.W.","36160383000;57198299952;7004014784;",2010,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954320178&doi=10.1111%2fj.1556-4029.2010.01370.x&partnerID=40&md5=8ed7f76d57e3a1216c821751a8972c1b",2-s2.0-77954320178
"Agrawal J.K., Sharma J.D., Pitre K.S.","36856523300;36054805300;7003704100;",2005,"Medico-Legal Update","https://www.scopus.com/inward/record.uri?eid=2-s2.0-32144435762&partnerID=40&md5=5b358a9be1a439f437507b9e580ab9ae",2-s2.0-32144435762
"De Donato A., Gutz I.G.R.","6505788491;7003646990;",2005,"Electroanalysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-20444433491&doi=10.1002%2felan.200303048&partnerID=40&md5=aa44ac383403f05e83f5ef823768ce75",2-s2.0-20444433491
"Saverio Romolo F., Margot P.","6508292376;7004580112;",2001,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035876938&doi=10.1016%2fS0379-0738%2800%2900428-X&partnerID=40&md5=e2f36a3e097a0be7c0c29e4addbcf379",2-s2.0-0035876938
"Wu Z., Tong Y., Yu J., Zhang X., Pan C., Deng X., Xu Y., Wen Y.","7501412325;55225471800;7405530456;35108563900;57206949193;57209907653;7407810240;55239417300;",1999,"Analyst","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032703993&doi=10.1039%2fa904917g&partnerID=40&md5=f49786943d039b4298a1e7eb2fadfc89",2-s2.0-0032703993
"Meng H.-H., Caddy B.","7202278946;7004233264;",1997,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030793488&partnerID=40&md5=915d1f40dd367b065908551af1262b10",2-s2.0-0030793488
