Authors,Author(s) ID,Year,Source title,Link,EID
"Thompson J.V., Mason J.D., Beier H.T., Bixler J.N.","57205965758;56167896800;8959663900;36973228300;",2017,"Progress in Biomedical Optics and Imaging - Proceedings of SPIE","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020315227&doi=10.1117%2f12.2251025&partnerID=40&md5=9e746004dd5ecd9ce65f883c25acd67c",2-s2.0-85020315227
"Suhling K., Hirvonen L.M., Levitt J.A., Chung P.-H., Tregidgo C., Rusakov D.A., Zheng K., Ameer-Beg S., Poland S.P., Coelho S., Henderson R., Krstajic N.","6701805003;24070727500;19933917400;18733571200;16242523200;7005393308;25937590000;6602110727;12040303400;55758310000;7402183805;9133776300;",2017,"Handbook of Photonics for Biomedical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034393737&doi=10.1007%2f978-94-007-5052-4_13&partnerID=40&md5=a3ad7689c4b96c1bf9c33f1da9c39e4d",2-s2.0-85034393737
"Stoltzfus C.R., Rebane A.","56711083700;35610180200;",2016,"Scientific Reports","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963699513&doi=10.1038%2fsrep24142&partnerID=40&md5=ff9198f5c88f8cae21303e5330ed53a7",2-s2.0-84963699513
"Suzuki M., Akiba N., Kurosawa K., Kuroki K., Akao Y., Higashikawa Y.","57072062600;57191076648;57203015060;7102448551;7005975007;23492393300;",2016,"Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955262254&doi=10.1117%2f1.OE.55.1.014101&partnerID=40&md5=c0a66e8d70907af2f617d0185c6b4001",2-s2.0-84955262254
"Suhling K., Hirvonen L.M., Levitt J.A., Chung P.-H., Tregidgo C., Le Marois A., Rusakov D.A., Zheng K., Ameer-Beg S., Poland S., Coelho S., Henderson R., Krstajic N.","6701805003;24070727500;19933917400;18733571200;16242523200;56479216200;7005393308;25937590000;6602110727;12040303400;55758310000;7402183805;9133776300;",2015,"Medical Photonics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977120306&doi=10.1016%2fj.medpho.2014.12.001&partnerID=40&md5=42fc33d555eef48499e58ddbe032090d",2-s2.0-84977120306
"Suhling K., Hirvonen L.M., Levitt J.A., Chung P.-H., Tregido C., Marois A.L., Rusakov D.A., Zheng K., Ameer-Beg S., Poland S., Coelho S., Dimble R.","6701805003;24070727500;19933917400;18733571200;56596797900;56596623600;7005393308;25937590000;6602110727;12040303400;55758310000;56596648900;",2015,"Springer Series in Chemical Physics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927917200&doi=10.1007%2f978-3-319-14929-5_3&partnerID=40&md5=582fbdc53f9461758341937e7ca7f894",2-s2.0-84927917200
"Suhling K.","6701805003;",2014,"Fluorescence Lifetime Spectroscopy and Imaging: Principles and Applications in Biomedical Diagnostics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941945554&doi=10.1201%2fb17018&partnerID=40&md5=b4947959ec8090888fc46a8f77dfb950",2-s2.0-84941945554
"Levitt J.A., Kuimova M.K., Yahioglu G., Chung P.-H., Suhling K., Phillips D.","19933917400;7801545253;6602469321;18733571200;6701805003;22998496000;",2010,"Chinese Optics Letters","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78449256526&doi=10.3788%2fCOL20100810.0926&partnerID=40&md5=6fb53fc005a27d6a5277abbfd88a6497",2-s2.0-78449256526
"Brettell T.A., Butler J.M., Almirall J.R.","6604035747;7403925483;7004960911;",2009,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67249090786&doi=10.1021%2fac9008786&partnerID=40&md5=89bb69ed164f1194b1e4017dc21907a5",2-s2.0-67249090786
"Silva M.J., Cortez J., Pasquini C., Honorato R.S., Paim A.P.S., Pimentel M.F.","25624647400;16444062300;35507950000;6701318298;16245616000;7006799228;",2009,"Journal of the Brazilian Chemical Society","https://www.scopus.com/inward/record.uri?eid=2-s2.0-76349101188&doi=10.1590%2fS0103-50532009001000017&partnerID=40&md5=11d80f739a3c762ee41f5330fe7bbc9f",2-s2.0-76349101188
