Authors,Author(s) ID,Year,Source title,Link,EID
"Thayer E., Turner W., Blama S., Devadas M.S., Hondrogiannis E.M.","57210336468;57210343924;57210339368;36081599700;55342863000;",2019,"MRS Communications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070354824&doi=10.1557%2fmrc.2019.100&partnerID=40&md5=9e4ffd064a585ac92675b1cb80d1819a",2-s2.0-85070354824
"Arnob M., Shih W.-C.","56386235200;7202110830;",2019,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068080262&doi=10.1117%2f12.2513619&partnerID=40&md5=d48bb772e3a0fb6f7d59bc096a7c98fb",2-s2.0-85068080262
"Kammrath B.W., Koutrakos A., Leary P.E., Castillo J., Wolfgang J., Huck-Jones D.","57193902656;57193901982;15059085100;57205915801;57200595428;55965283900;",2018,"Spectroscopy (Santa Monica)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041820931&partnerID=40&md5=53a90f26064b480514019ea4df16b085",2-s2.0-85041820931
"Trache D., Tarchoun A.F.","55008987800;57195423540;",2018,"Journal of Materials Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027974638&doi=10.1007%2fs10853-017-1474-y&partnerID=40&md5=594d66a4d9c3367666f4366414c5f877",2-s2.0-85027974638
"Sikirzhytskaya A., Sikirzhytski V., Lednev I.K.","49864637900;24169870800;7004549899;",2017,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019934441&doi=10.1021%2facs.analchem.6b02986&partnerID=40&md5=2ae8ae18d56dfd40e9cc53574ad607c5",2-s2.0-85019934441
"Li J., Yue Y., Shih W.-C.","55919158500;57194470991;7202110830;",2017,"Progress in Biomedical Optics and Imaging - Proceedings of SPIE","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020279231&doi=10.1117%2f12.2253094&partnerID=40&md5=96db236b1eea2ff7179b762b5d93e598",2-s2.0-85020279231
"Qiu S., Zhao F., Li J., Shih W.-C.","37093863700;56168356600;55919158500;7202110830;",2017,"Progress in Biomedical Optics and Imaging - Proceedings of SPIE","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020455069&doi=10.1117%2f12.2252559&partnerID=40&md5=19039706a73dd0fd701084345dddd98a",2-s2.0-85020455069
"Zhao F., Qiu S., Li J., Shih W.-C.","56168356600;37093863700;55919158500;7202110830;",2017,"Progress in Biomedical Optics and Imaging - Proceedings of SPIE","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019176696&doi=10.1117%2f12.2253011&partnerID=40&md5=221181ae9a6db49a6f6320c63c321c0d",2-s2.0-85019176696
"Muehlethaler C., Leona M., Lombardi J.R.","36990536700;57204298589;7007059776;",2016,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953438870&doi=10.1021%2facs.analchem.5b04131&partnerID=40&md5=2f125484e43457b9fd27df47d3f41967",2-s2.0-84953438870
"Doty K.C., Muro C.K., Bueno J., Halámková L., Lednev I.K.","56086169000;56469498800;55220519700;54414110100;7004549899;",2016,"Journal of Raman Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956594967&doi=10.1002%2fjrs.4826&partnerID=40&md5=f2a266bd6632622f8300237575145c49",2-s2.0-84956594967
"Shih W.-C., Bechtel K.L., Rebec M.V.","7202110830;6603933251;56244764200;",2015,"Journal of Biomedical Optics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923372886&doi=10.1117%2f1.JBO.20.5.051036&partnerID=40&md5=7b0b3a56c9b41eda737700581464eba9",2-s2.0-84923372886
"Shih W.-C.","7202110830;",2015,"Journal of Innovative Optical Health Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937962364&doi=10.1142%2fS1793545815500224&partnerID=40&md5=157663b03cebb4b50706a7a61fa72331",2-s2.0-84937962364
"Li M., Du Y., Zhao F., Zeng J., Mohan C., Shih W.-C.","54410992600;36481166800;56168356600;56168680500;7102973858;7202110830;",2015,"Biomedical Optics Express","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942365817&doi=10.1364%2fBOE.6.000849&partnerID=40&md5=abb49b8c3d924062db150d8294253ff5",2-s2.0-84942365817
"Abrego Z., Grijalba N., Unceta N., Maguregui M., Sanchez A., Fernández-Isla A., Goicolea M.A., Barrió R.J.","55062298400;56401022300;6507899948;24537370900;14322502100;55062298500;6602249008;7006546783;",2014,"Analyst","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908462472&doi=10.1039%2fc4an01051e&partnerID=40&md5=54d740959cf7138f7bbe19269b4ae30c",2-s2.0-84908462472
