Authors,Author(s) ID,Year,Source title,Link,EID
"Berger J., Upton C., Springer E.","57201698986;57201696885;57201701954;",2019,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045842795&doi=10.1111%2f1556-4029.13802&partnerID=40&md5=479299e828d3cb60a4a4d5bd20714cd3",2-s2.0-85045842795
"Maitre M., Kirkbride K.P., Horder M., Roux C., Beavis A.","57192155063;56337473100;57113201600;7202017940;7007045269;",2017,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84998656243&doi=10.1016%2fj.forsciint.2016.09.003&partnerID=40&md5=72e08daa40fe2a6dc2975729496feac9",2-s2.0-84998656243
"Maiden N.R., Hiss J., Gips H., Hocherman G., Levin N., Kosachevsky O., Vinokurov A., Zelkowicz A., Byard R.W.","26537941500;7004012984;23097733500;6505691627;16683533000;56784272800;7006603191;8590565200;35598285900;",2016,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956831943&doi=10.1111%2f1556-4029.12901&partnerID=40&md5=0af664093dfc37ef7c5f23b339362f78",2-s2.0-84956831943
"Vinokurov A., Giverts P., Weiss R., Levin N., Zeichner A.","7006603191;6504185253;57192196195;16683533000;7005860122;",2014,"AFTE Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000347749&partnerID=40&md5=a15c11feed991ef4815b6a7b023a6f51",2-s2.0-85000347749
"Kumar R., Patial N., Singh S.","55553737061;55354739600;57199223891;",2013,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872422031&doi=10.1111%2fj.1556-4029.2012.02276.x&partnerID=40&md5=03a972ea42b9517e6a8137c243b015e3",2-s2.0-84872422031
"Muller D., Levy A., Vinokurov A., Ravreby M., Shelef R., Wolf E., Eldar B., Glattstein B.","57199771924;55683108200;7006603191;6507211476;6603143403;7402940663;6507052211;6603520952;",2007,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845865537&doi=10.1111%2fj.1556-4029.2006.00309.x&partnerID=40&md5=016deef4ce932bc3632daeff07163c3b",2-s2.0-33845865537
"Stauffer E., Bonfanti M.S","15754379600;7003446206;",2006,"Forensic Investigation of Stolen-Recovered and Other Crime-Related Vehicles","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013714408&doi=10.1016%2fB978-0-12-088486-5.X5030-3&partnerID=40&md5=7b64a750af08c458e2cec2823dc1b80e",2-s2.0-85013714408
"Zamir A., Oz C., Wolf E., Vinokurov A., Glattstein B.","7006701678;6602538028;7402940663;7006603191;6603520952;",2004,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0347021112&partnerID=40&md5=076388e38bae6b8a2f8e3592c25e6c37",2-s2.0-0347021112
"Zeichner A.","7005860122;",2003,"Analytical and Bioanalytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141956029&doi=10.1007%2fs00216-003-1994-y&partnerID=40&md5=a6c7f79d64cba45b78e3c1d62f4352c5",2-s2.0-0141956029
"Crispino F.","6602290061;",2003,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037468939&doi=10.1016%2fS0379-0738%2803%2900014-8&partnerID=40&md5=81df8bdda7eb79d662a8eb326c5871b3",2-s2.0-0037468939
"Vinokurov A., Zeichner A., Glattstein B., Koffman A., Levin N., Rosengarten A.","7006603191;7005860122;6603520952;6602995234;16683533000;57201953690;",2001,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034957314&partnerID=40&md5=4185b6e91dd1854fccb21d7908050c48",2-s2.0-0034957314
"Glattstein B., Zeichner A., Vinokurov A., Levin N., Kugel C., Hiss J.","6603520952;7005860122;7006603191;16683533000;6603785489;7004012984;",2000,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033729919&partnerID=40&md5=fd87638be24c27f147484fcefb235d39",2-s2.0-0033729919
