Authors,Author(s) ID,Year,Source title,Link,EID
"Pereira De Oliveira L., Rocha D.P., Reis De Araujo W., Abarza Muñoz R.A., Longo Cesar Paixão T.R., Oliveira Salles M.","57204591960;57194055239;57204584786;56136382900;57204588106;57204588619;",2018,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056289207&doi=10.1039%2fc8ay01389f&partnerID=40&md5=a3ca6593418d41720a6ff8669024246d",2-s2.0-85056289207
"Gładysz M., Król M., Woźniakiewicz M., Kościelniak P.","56819020800;54889751400;6507569042;7003357508;",2018,"Talanta","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044470358&doi=10.1016%2fj.talanta.2018.02.091&partnerID=40&md5=55f4a33037d0b208287ff4435ad4661a",2-s2.0-85044470358
"Woźniakiewicz M., Król M., Wietecha-Posłuszny R.","6507569042;54889751400;15123634500;",2018,"Flow and Capillary Electrophoretic Analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048415610&partnerID=40&md5=34d1d901a8ae9cf47234b079f87bf6bb",2-s2.0-85048415610
"Costa R.A., Motta L.C., Destefani C.A., Rodrigues R.R.T., do Espírito Santo K.S., Aquije G.M.F.V., Boldrini R., Athayde G.P.B., Dias M.T.W.D.C., Romão W.","56825047100;56179616200;56086468100;56949906300;57190277852;56075083100;57190273371;56587845000;57190282453;57198083811;",2016,"Microchemical Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978924571&doi=10.1016%2fj.microc.2016.07.017&partnerID=40&md5=9f19bb6bc33f7fce74b6392b8339db58",2-s2.0-84978924571
"Airado-Rodríguez D., Cruces-Blanco C., García-Campaña A.M.","23134400200;56089349500;7004918727;",2015,"Analytica Chimica Acta","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946744206&doi=10.1016%2fj.aca.2015.01.033&partnerID=40&md5=4d8883abee6c4f831e4c0b5865513e52",2-s2.0-84946744206
"Nguyen T.A.H., Pham T.N.M., Ta T.T., Nguyen X.T., Nguyen T.L., Le T.H.H., Koenka I.J., Sáiz J., Hauser P.C., Mai T.D.","56305502400;56305924800;56080778600;55610976800;55473717900;56861686700;56079993100;47161508500;25943012300;35484990300;",2015,"Science and Justice","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942035535&doi=10.1016%2fj.scijus.2015.09.001&partnerID=40&md5=f44be9d747b7395082f720af66193a76",2-s2.0-84942035535
"Calcerrada M., García-Ruiz C.","55602272500;35271820400;",2015,"Analytica Chimica Acta","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922541764&doi=10.1016%2fj.aca.2014.10.057&partnerID=40&md5=9e6db2d0f325d703202a0fdab3760578",2-s2.0-84922541764
"Posch T.N., Pütz M., Martin N., Huhn C.","55143557100;23486445600;57199797611;23485213700;",2015,"Analytical and Bioanalytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926666721&doi=10.1007%2fs00216-014-8271-0&partnerID=40&md5=87055fffd1d3632d6365586708b4fad1",2-s2.0-84926666721
"Porto S.K.S.S., Nogueira T., Blanes L., Doble P., Sabino B.D., do Lago C.L., Angnes L.","56276381200;56242122500;8606130700;6603627895;24077242500;7004002578;7004392162;",2014,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912000034&doi=10.1111%2f1556-4029.12573&partnerID=40&md5=26954dacdaee46a11dbf7658ba10cb08",2-s2.0-84912000034
"Pan Y., Treacy S., Gu X., Miller D., Burczynski F.","55657338200;6701713440;7403204137;55494842600;57205771272;",2012,"Journal of the Canadian Society of Forensic Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876496749&doi=10.1080%2f00085030.2012.10757190&partnerID=40&md5=ba39eec9f2070c9e4141017f4a2496e8",2-s2.0-84876496749
