Authors,Author(s) ID,Year,Source title,Link,EID
"Lucas N., Cook M., Kirkbride K.P., Kobus H.","57169935900;57169595000;56337473100;7003432475;",2019,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062442610&doi=10.1016%2fj.forsciint.2019.02.017&partnerID=40&md5=cd3c741f024b1351b23aae48f6eb23a6",2-s2.0-85062442610
"Blakey L., Sharples G.P., Chana K., Birkett J.W.","57200181669;7003677879;35809803800;7004014784;",2019,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068916947&doi=10.1111%2f1556-4029.14126&partnerID=40&md5=14ea9e95675b60e96c84aeb04a18bc8d",2-s2.0-85068916947
"Luten R., Neimke D., Barth M., Niewoehner L.","57201005519;14631074000;57189351968;8525342900;",2018,"Forensic Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042847802&doi=10.1016%2fj.forc.2018.02.005&partnerID=40&md5=e6a847307290ba471a86cea5cc64c5c4",2-s2.0-85042847802
"Brożek-Mucha Z., Zdeb K.","6602161516;44462445800;",2018,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030257685&doi=10.1111%2f1556-4029.13631&partnerID=40&md5=cb6b4daa51ae07eb55c68b800fa4d336",2-s2.0-85030257685
"Blakey L.S., Sharples G.P., Chana K., Birkett J.W.","57200181669;7003677879;35809803800;7004014784;",2018,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040036495&doi=10.1111%2f1556-4029.13555&partnerID=40&md5=f0697b59d8b30b4a357ed5c727f2ecac",2-s2.0-85040036495
"Burnett B.R., Lebiedzik J.","35564659500;6603130185;",2017,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007018331&doi=10.1111%2f1556-4029.13343&partnerID=40&md5=301bd784735f41e3308b8193528fa030",2-s2.0-85007018331
"Aliste M., Chávez L.G.","56104447400;57102993900;",2016,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957573824&doi=10.1016%2fj.forsciint.2016.01.034&partnerID=40&md5=006060229b4eabbf430d858208313732",2-s2.0-84957573824
"Kara L., Sarikavak Y., Lisesivdin S.B., Kasap M.","57188548277;36621412600;16242267700;6603712742;",2016,"Environmental Forensics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961652487&doi=10.1080%2f15275922.2015.1133729&partnerID=40&md5=d751276fcdfa7aa0348909dd6b8fdf15",2-s2.0-84961652487
"French J., Morgan R.","37037238900;57194780985;",2015,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919934670&doi=10.1016%2fj.forsciint.2014.10.023&partnerID=40&md5=6a6835a56a36f8eed033f96ca37b120d",2-s2.0-84919934670
"French J., Morgan R., Davy J.","37037238900;57194780985;22936802500;",2014,"X-Ray Spectrometry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890434537&doi=10.1002%2fxrs.2498&partnerID=40&md5=9717e698531f43cd54ba03a41b7a0e43",2-s2.0-84890434537
