Authors,Author(s) ID,Year,Source title,Link,EID
"Patel K., Bhamore J.R., Park T.J., Kailasa S.K.","57204020883;56537111400;35084075100;25930861200;",2018,"ChemistrySelect","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054092006&doi=10.1002%2fslct.201801606&partnerID=40&md5=b77f0f0305f43335a40687fd278e2a3f",2-s2.0-85054092006
"Trejos T., Vander Pyl C., Menking-Hoggatt K., Alvarado A.L., Arroyo L.E.","6507011064;57191504919;57204574105;57204572101;36130950800;",2018,"Forensic Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056230210&doi=10.1016%2fj.forc.2018.02.006&partnerID=40&md5=8215efe6afaaeea892a0cb29f9f259fa",2-s2.0-85056230210
"Hejtmánková M., Broncová G., Shishkanova T.V.","57201158257;6506567025;6603159940;",2018,"Chemicke Listy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043595542&partnerID=40&md5=7df85a96e98750fc8472487afc759fd9",2-s2.0-85043595542
"Wang J., O'Mahony A.M.","7701314455;24344377800;",2016,"Forensic Science: A Multidisciplinary Approach","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017475276&doi=10.1002%2f9783527693535.ch6&partnerID=40&md5=83b554e500090e149cc819922e4e3417",2-s2.0-85017475276
"Doménech-Carbó A., Doménech-Carbó M.T., Pérez M.L., Herrero-Cortell M.","9274625200;6603841468;56461943200;57200012570;",2015,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919933450&doi=10.1016%2fj.forsciint.2014.12.001&partnerID=40&md5=2148448e4b3be1816c9ec410fc0533e2",2-s2.0-84919933450
"Omahony A.M., Samek I.A., Sattayasamitsathit S., Wang J.","36125270700;55347843200;35750521000;7701314455;",2014,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906278116&doi=10.1021%2fac5016112&partnerID=40&md5=e9ff6d6e729a80600f5bbce4f02b85c3",2-s2.0-84906278116
"Modi R.P., Mehta V.N., Kailasa S.K.","56046507000;55349238500;25930861200;",2014,"Sensors and Actuators, B: Chemical","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894479325&doi=10.1016%2fj.snb.2014.01.059&partnerID=40&md5=ae6ac6fcd9337b59c50a123e0d823c6c",2-s2.0-84894479325
"Aksoy C., Akman Y., Ergun Z.O., Uzek U., Aydin F.","55965836700;55966138300;55965973900;6504143483;24470946100;",2013,"Atomic Spectroscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890319426&partnerID=40&md5=cba222126e945a0e1040de19afb2b288",2-s2.0-84890319426
"O'Mahony A.M., Wang J.","24344377800;7701314455;",2013,"Electroanalysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879017775&doi=10.1002%2felan.201300054&partnerID=40&md5=022ce9b1ca276f3d0f0b98f998b6f470",2-s2.0-84879017775
"Cetó X., O'Mahony A.M., Samek I.A., Windmiller J.R., Del Valle M., Wang J.","36702561500;24344377800;55347843200;24072330500;7005723747;7701314455;",2012,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870527687&doi=10.1021%2fac302361z&partnerID=40&md5=0b1f22f658668cbdee4077f225b7d132",2-s2.0-84870527687
"O'Mahony A.M., Windmiller J.R., Samek I.A., Bandodkar A.J., Wang J.","24344377800;24072330500;55347843200;35072494300;7701314455;",2012,"Electrochemistry Communications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865589967&doi=10.1016%2fj.elecom.2012.07.004&partnerID=40&md5=051a31fba1611870d1d56da58552b8ad",2-s2.0-84865589967
"Vuki M., Shiu K.-K., Galik M., O'Mahony A.M., Wang J.","6603158089;7006084968;15077814000;24344377800;7701314455;",2012,"Analyst","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862585036&doi=10.1039%2fc2an35379b&partnerID=40&md5=2ee2ba7555b144b86cb29ad3c539751e",2-s2.0-84862585036
"Salles M.O., Naozuka J., Bertotti M.","29167555400;6506522451;7004562485;",2012,"Microchemical Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83555165937&doi=10.1016%2fj.microc.2011.10.004&partnerID=40&md5=dc45114820222d101cb6f32c02b41d07",2-s2.0-83555165937
"Yüce M., Nazir H., Dönmez G.","15766716500;6602505496;6602306821;",2011,"New Biotechnology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958026714&doi=10.1016%2fj.nbt.2010.11.005&partnerID=40&md5=ea7f31491de9fb31c9a6d1f53720fc25",2-s2.0-79958026714
